date,nasdaq_pctChange_adjClose,tqqq_intraday,sqqq_intraday,qqq_intraday
2019-01-02,,0.08021854552761279,-0.07251264755480608,0.02576329060286413
2019-01-03,-3.0369301731743903,-0.056976077352477075,0.05162412993039443,-0.018217553526250017
2019-01-04,4.260228410013922,0.07651199097263409,-0.08854166666666667,0.025534984135226087
2019-01-07,1.255558852373917,0.02651417794119397,-0.026802807913209957,0.009385782572673614
2019-01-08,1.077601027645625,-0.0014745038244942947,0.0,-0.00012529155392419363
2019-01-09,0.8711045110192828,0.011429991072754683,-0.012269938650306749,0.004246334064956095
2019-01-10,0.4166941557119941,0.033218560755249996,-0.032388663967611336,0.010526269495827065
2019-01-11,-0.20884193999065603,0.006062075407977878,-0.00684931506849315,0.002245372707791195
2019-01-14,-0.9404037417796829,-0.0004946934853500718,0.0006711409395973154,-0.0003765615885536003
2019-01-15,1.7073779827146751,0.04176851383806172,-0.04619565217391304,0.014875030517578125
2019-01-16,0.1546145501878149,-0.00605078261215405,0.0035790980672870437,-0.0018443762940419891
2019-01-17,0.7074941460931017,0.033333330327267666,-0.03314527503526093,0.011122801899470765
2019-01-18,1.0271780761341276,0.004248627493798558,-0.007451564828614009,0.002852295328225093
2019-01-22,-1.912333648087361,-0.03590088790310998,0.03526818515797208,-0.012922072100058074
2019-01-23,0.0770638023600112,-0.011175774940858871,0.012239020878329733,-0.0038091193690621664
2019-01-24,0.6787859732623636,0.009341464939974196,-0.010752688172043012,0.0031964857135031847
2019-01-25,1.292152678441627,0.01129688248896164,-0.012620638455827766,0.003890337432488598
2019-01-28,-1.1051114608086499,0.002325093994907055,-0.0021691973969631237,0.0005520570208071583
2019-01-29,-0.8099453446249072,-0.030099543375688338,0.02973168963016679,-0.009987681706516073
2019-01-30,2.2023854764415374,0.03995380075562723,-0.043034281546316555,0.01395348142265708
2019-01-31,1.373507676051866,0.025971161820924356,-0.02868217054263566,0.00875828878581502
2019-02-01,-0.24540997910280637,0.0015105674275728194,-0.0007861635220125787,0.0007171165712927768
2019-02-04,1.1518642338747664,0.035291571908067684,-0.03391167192429022,0.012240286028504636
2019-02-05,0.7422897836900866,0.02088075581007902,-0.022149302707136997,0.007481175268356861
2019-02-06,-0.3620643479385177,-0.009902948025520232,0.008396305625524769,-0.0032150758649084794
2019-02-07,-1.1786629122187087,-0.01426466365844126,0.012145748987854251,-0.004732905741793086
2019-02-08,0.13514852503335728,0.03325312816031109,-0.03268482490272374,0.010793974040842425
2019-02-11,0.13290546671329562,-0.013606898045848076,0.012997562956945572,-0.00455165975524783
2019-02-12,1.4603404024393196,0.021400348149570685,-0.02293202293202293,0.00742789878303897
2019-02-13,0.07768119652749039,-0.012033740101755862,0.012744265080713678,-0.0037285139085667367
2019-02-14,0.08854415277603778,0.01519502776543419,-0.015767634854771784,0.004812249727643142
2019-02-15,0.6120945979440018,-0.009503059952225277,0.011206896551724138,-0.003361939582024878
2019-02-19,0.19217177565178378,0.015536731969879286,-0.014370245139475908,0.005075521256638388
2019-02-20,0.030718249411965104,-0.003171453815510052,0.001718213058419244,-0.0008700342331475785
2019-02-21,-0.39203618033182286,-0.003007774501589942,0.002548853016142736,-0.000989569681524838
2019-02-22,0.9092857293405476,0.014782218207535834,-0.015358361774744027,0.00523282672096982
2019-02-25,0.3576191124232464,-0.012497553012081684,0.012422360248447204,-0.003960750903015294
2019-02-26,-0.06830609039801816,0.010989038134846557,-0.012152777777777778,0.003466151493765758
2019-02-27,0.06901250542818982,0.01042688884919676,-0.010398613518197574,0.003990760357223355
2019-02-28,-0.29095177782103576,0.002553546818009717,-0.001736111111111111,0.0008090111943341882
2019-03-01,0.8339869113268561,-0.001151142744115562,0.0,-0.0002866489971221385
2019-03-04,-0.23409419195813408,-0.016990777895756287,0.016260162601626018,-0.006380284607632924
2019-03-05,-0.015967664641414192,0.00038329738686659247,-0.0008896797153024911,0.0
2019-03-06,-0.9297333109483996,-0.01968283122403593,0.01784121320249777,-0.006639215052683519
2019-03-07,-1.125244631125799,-0.02849844206957219,0.029513888888888888,-0.009762029165159473
2019-03-08,-0.1794771418138552,0.029534976913251597,-0.02936378466557912,0.00979295449179211
2019-03-11,2.0237187621750863,0.05007041426477405,-0.05097706032285471,0.016581282079144003
2019-03-12,0.43621943073888225,0.00836022454454306,-0.009025270758122744,0.002854044140830634
2019-03-13,0.6900298454391107,0.0064971653194371756,-0.005545286506469501,0.0023215650574779385
2019-03-14,-0.16353956865416963,-0.006259207557033306,0.005591798695246971,-0.0023711294380823803
2019-03-15,0.755081998430529,0.013001264906378207,-0.01218369259606373,0.005355198645528685
2019-03-18,0.33751830372823477,0.008127158598883782,-0.008555133079847909,0.0028097780757221813
2019-03-19,0.12275895287467975,-0.002829852225350235,0.001937984496124031,-0.0007254695241485377
2019-03-20,0.06499290394565982,0.011712508700691735,-0.012609117361784675,0.003909287153950327
2019-03-21,1.4230840983513016,0.05612609789899198,-0.056365403304178816,0.01869214418423204
2019-03-22,-2.50403165777906,-0.052998114294086275,0.052845528455284556,-0.01771372671540503
2019-03-25,-0.06712160625722552,0.006175084346307715,-0.0076263107721639654,0.0017424402912300774
2019-03-26,0.7067718164836645,-0.009349070244061902,0.008840864440078585,-0.00306237768968008
2019-03-27,-0.6258858664673128,-0.023585707230945118,0.02346041055718475,-0.007918878930040004
2019-03-28,0.33741668552276227,-0.0010816904988388797,-0.0009606147934678194,-0.00028034902212772505
2019-03-29,0.7843078580405782,0.0005297329813007086,-0.001962708537782139,-0.00016694740324608252
